Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
08-July-2025,auth,512,492,0,16,4,0,,,07-July-2025,auth,512,493,0,15,4,0
08-July-2025,idrepo,410,0,326,0,84,0,,,07-July-2025,idrepo,410,322,0,4,84,0
08-July-2025,masterdata-ara,945,920,0,10,15,0,,,07-July-2025,masterdata-ara,945,920,0,10,15,0
08-July-2025,masterdata-eng,945,935,0,10,0,0,,,07-July-2025,masterdata-eng,945,935,0,10,0,0
08-July-2025,masterdata-fra,945,920,0,10,15,0,,,07-July-2025,masterdata-fra,945,920,0,10,15,0
08-July-2025,masterdata-hin,945,920,0,10,15,0,,,07-July-2025,masterdata-hin,945,920,0,10,15,0
08-July-2025,masterdata-kan,945,920,0,10,15,0,,,07-July-2025,masterdata-kan,945,920,0,10,15,0
08-July-2025,masterdata-tam,945,920,0,10,15,0,,,07-July-2025,masterdata-tam,945,920,0,10,15,0
08-July-2025,pms,509,332,134,31,0,12,,,07-July-2025,pms,509,497,0,0,0,12
08-July-2025,prereg,288,280,0,6,2,0,,,07-July-2025,prereg,288,280,0,6,2,0
08-July-2025,resident,1126,1106,0,20,0,0,,,07-July-2025,resident,1126,1117,0,9,0,0
08-July-2025,dsl,3,3,0,0,0,0,,,07-July-2025,dsl,3,2,0,1,0,0
