Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
04-July-2025,auth,512,493,0,15,4,0,,,03-July-2025,auth,512,492,0,16,4,0,,,02-July-2025,auth,512,492,0,16,4,0,,,01-July-2025,auth,512,492,0,16,4,0,,,30-June-2025,auth,512,492,0,16,4,0
04-July-2025,idrepo,410,322,0,4,84,0,,,03-July-2025,idrepo,410,322,0,4,84,0,,,02-July-2025,idrepo,410,322,0,4,84,0,,,01-July-2025,idrepo,410,322,0,4,84,0,,,30-June-2025,idrepo,410,322,0,4,84,0
04-July-2025,masterdata-ara,945,920,0,10,15,0,,,03-July-2025,masterdata-ara,945,920,0,10,15,0,,,02-July-2025,masterdata-ara,945,919,0,11,15,0,,,01-July-2025,masterdata-ara,945,920,0,10,15,0,,,30-June-2025,masterdata-ara,945,920,0,10,15,0
04-July-2025,masterdata-eng,945,935,0,10,0,0,,,03-July-2025,masterdata-eng,945,935,0,10,0,0,,,02-July-2025,masterdata-eng,945,935,0,10,0,0,,,01-July-2025,masterdata-eng,945,935,0,10,0,0,,,30-June-2025,masterdata-eng,945,935,0,10,0,0
04-July-2025,masterdata-fra,945,920,0,10,15,0,,,03-July-2025,masterdata-fra,945,920,0,10,15,0,,,02-July-2025,masterdata-fra,945,920,0,10,15,0,,,01-July-2025,masterdata-fra,945,920,0,10,15,0,,,30-June-2025,masterdata-fra,945,920,0,10,15,0
04-July-2025,masterdata-hin,945,920,0,10,15,0,,,03-July-2025,masterdata-hin,945,920,0,10,15,0,,,02-July-2025,masterdata-hin,945,920,0,10,15,0,,,01-July-2025,masterdata-hin,945,920,0,10,15,0,,,30-June-2025,masterdata-hin,945,920,0,10,15,0
04-July-2025,masterdata-kan,945,920,0,10,15,0,,,03-July-2025,masterdata-kan,945,920,0,10,15,0,,,02-July-2025,masterdata-kan,945,920,0,10,15,0,,,01-July-2025,masterdata-kan,945,920,0,10,15,0,,,30-June-2025,masterdata-kan,945,920,0,10,15,0
04-July-2025,masterdata-tam,945,920,0,10,15,0,,,03-July-2025,masterdata-tam,945,920,0,10,15,0,,,02-July-2025,masterdata-tam,945,920,0,10,15,0,,,01-July-2025,masterdata-tam,945,920,0,10,15,0,,,30-June-2025,masterdata-tam,945,920,0,10,15,0
04-July-2025,pms,509,497,0,0,0,12,,,03-July-2025,pms,509,497,0,0,0,12,,,02-July-2025,pms,509,497,0,0,0,12,,,01-July-2025,pms,509,497,0,0,0,12,,,30-June-2025,pms,509,497,0,0,0,12
04-July-2025,prereg,288,280,0,6,2,0,,,03-July-2025,prereg,288,280,0,6,2,0,,,02-July-2025,prereg,288,280,0,6,2,0,,,01-July-2025,prereg,288,280,0,6,2,0,,,30-June-2025,prereg,288,280,0,6,2,0
04-July-2025,resident,1126,908,147,71,0,0,,,03-July-2025,resident,1126,1114,0,12,0,0,,,02-July-2025,resident,1126,1111,0,15,0,0,,,01-July-2025,resident,1126,1114,0,12,0,0,,,30-June-2025,resident,1126,1112,0,14,0,0
04-July-2025,dsl,197,142,0,55,0,0,,,03-July-2025,dsl,197,140,0,57,0,0,,,02-July-2025,dsl,197,143,0,54,0,0,,,01-July-2025,dsl,197,146,0,51,0,0,,,30-June-2025,dsl,197,140,0,57,0,0
04-July-2025,dsl,197,142,0,55,0,0,,,03-July-2025,dsl,197,140,0,57,0,0,,,02-July-2025,dsl,197,143,0,54,0,0,,,01-July-2025,dsl,197,146,0,51,0,0,,,30-June-2025,dsl,197,140,0,57,0,0
