Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
04-July-2025,auth,254,186,6,62,0,0,,,03-July-2025,auth,254,184,6,64,0,0
04-July-2025,injiverify,8,8,0,0,0,0,,,03-July-2025,esignet,375,252,52,44,27,0
04-July-2025,mimoto,37,22,1,4,10,0,,,03-July-2025,idrepo,147,96,0,0,51,0
04-July-2025,resident,372,189,38,145,0,0,,,03-July-2025,injiverify,8,8,0,0,0,0
04-July-2025,dsl,163,1,160,2,0,0,,,03-July-2025,masterdata-ara,244,217,7,20,0,0
,,,,,,,,,,03-July-2025,masterdata-eng,244,224,7,13,0,0
,,,,,,,,,,03-July-2025,masterdata-fra,244,217,7,20,0,0
,,,,,,,,,,03-July-2025,masterdata-hin,244,210,7,27,0,0
,,,,,,,,,,03-July-2025,masterdata-kan,244,210,7,27,0,0
,,,,,,,,,,03-July-2025,masterdata-tam,244,210,7,27,0,0
,,,,,,,,,,03-July-2025,mimoto,37,22,1,4,10,0
,,,,,,,,,,03-July-2025,partner,287,219,39,29,0,0
,,,,,,,,,,03-July-2025,prereg,103,3,70,30,0,0
,,,,,,,,,,03-July-2025,resident,372,160,54,158,0,0
,,,,,,,,,,03-July-2025,dsl,163,1,160,2,0,0
