Date,Module,T,P,S,F,I,KI
04-July-2025,auth,512,491,0,17,4,0
04-July-2025,idrepo,410,304,1,21,84,0
04-July-2025,injicertify,129,1,39,1,79,9
04-July-2025,masterdata-khm,937,803,1,133,0,0
04-July-2025,masterdata-tam,937,858,1,78,0,0
04-July-2025,masterdata-hin,937,888,1,48,0,0
04-July-2025,masterdata-kan,937,888,1,48,0,0
04-July-2025,masterdata-fra,937,892,5,40,0,0
04-July-2025,masterdata-ara,937,874,5,58,0,0
04-July-2025,masterdata-eng,937,886,5,46,0,0
04-July-2025,mimoto,176,143,0,0,33,0
04-July-2025,partner,509,329,134,34,0,12
04-July-2025,prereg,283,81,98,104,0,0
